Package Name,Version
coffee-script,1.9.2,MIT
less,^2.5.1,Apache-2.0
gulp-babel,^5.2.1,MIT
jshint,2.8.0,(MIT AND JSON)
webpack-dev-server,^1.12.0,MIT
d3,3.5.5,unknown
phantomjs,^1.9.18,Apache-2.0
gulp-karma,0.0.4,MIT
style-loader,^0.12.3,MIT
gulp,3.8.11,unknown
react-mdl,^1.0.3,MIT
jquery,2.1.4,unknown
css-loader,^0.16.0,MIT
@indicee/common,^1.0.0,unknown
repl,0.1.3,unknown
@indicee/api-toolkit,^1.1.0,unknown
reactify,1.1.1,MIT
qs,^6.0.1,BSD-3-Clause
node-lessify,0.0.10,MIT
flux,^2.1.1,BSD-3-Clause
gulp-replace,0.5.3,MIT
babel-loader,5.3.2,MIT
semver,4.3.3,BSD
commonjs-utils,0.1.1,unknown
keymirror,^0.1.1,unknown
esprima-fb,14001.1.0-dev-harmony-fb,unknown
jsonschema,1.0.1,unknown
map-stream,0.0.5,MIT
custom-event-polyfill,0.2.1,unknown
@indicee/build,^1.0.0,unknown
numeral,1.5.3,unknown
gulp-nightwatch-headless,^1.0.4,unknown
gulp-jscs,3.0.2,MIT
gulp-symlink,2.1.0,MIT
through2,^2.0.0,MIT
gulp-scope-css,0.0.2,MIT
gulp-changed,^1.3.0,MIT
gulp-react,^2.0.0,MIT
md5,^2.0.0,BSD-3-Clause
es6-promise,2.1.1,MIT
google-maps,3.1.0,MIT
@indicee/visualizations,^1.0.0,unknown
moment,2.10.2,unknown
json-loader,0.5.1,unknown
history,1.13.x,MIT
es6-shim,0.28.1,MIT
jshint-stylish,1.0.1,MIT
karma-webpack,^1.7.0,MIT
mocha,^2.3.3,MIT
gulp-plumber,0.6.6,unknown
es6-collections,0.5.1,unknown
yargs,3.9.1,MIT
gulp-jshint,1.10.0,unknown
webpack,1.12.2,MIT
karma-sourcemap-loader,0.3.4,MIT
material-design-icons,^2.1.1,CC-BY-4.0
htmlparser2,^3.8.3,MIT
url-loader,^0.5.6,MIT
@indicee/common-ui,^1.0.0,unknown
@indicee/html-to-react,^0.x,MIT
object-assign,^4.0.1,MIT
karma-mocha-reporter,1.0.2,The MIT License (MIT)
react-addons-test-utils,^0.14.2,BSD-3-Clause
lodash,^4.0.0,MIT
gulp-jsdoc,0.1.4,MIT
vinyl-source-stream,1.1.0,MIT
rewire,^2.3.4,MIT
del,^2.0.1,MIT
rewire-webpack,^1.0.0,unknown
less-plugin-npm-import,^2.1.0,unknown
chai-spies,0.6.0,unknown
chai,1.10.0,MIT
raw-loader,^0.5.1,unknown
file-loader,^0.8.4,MIT
html-entities,^1.1.2,MIT
gulp-filelist,0.1.1,MIT
gulp-preprocess,1.2.0,MIT
babel,^5.6.23,MIT
react-date-picker,^3.1.8,MIT
babel-core,5.8.22,MIT
npm,2.8.4,Artistic-2.0
karma-junit-reporter,0.2.2,MIT
glob,4.5.3,ISC
react,^0.14.2,BSD-3-Clause
gulp-bump,0.3.0,unknown
karma-mocha,0.1.10,MIT
toastr,^2.1.2,unknown
browserify,8.1.3,MIT
karma-phantomjs-launcher,0.1.4,MIT
es5-shim,4.1.1,unknown
loglevel,1.2.0,unknown
react-dom,^0.14.2,BSD-3-Clause
q,^1.4.1,"{u'url': u'http://github.com/kriskowal/q/raw/master/LICENSE', u'type': u'MIT'}"
react-router,1.0.2,MIT
karma,0.13.9,MIT
less-loader,^2.2.0,unknown
gulp-mocha,2.0.1,MIT
